manufacturer,model,kernel,eta_peak,f_peak,f_50,f_10,f_2
Siemens,Alpha,Br68u,1.2395552052547938,0.481998078770413,1.015757224573436,1.3345325764348448,1.504255222453804
Siemens,Alpha,Br56u,1.087897980584586,0.3172957746478873,0.7004080256195545,0.9117755466946634,1.01423917202856
Siemens,Alpha,Qr40u,1.0,0.0,0.3833262367306899,0.6503604587357711,0.7910579586215082
Siemens,Alpha,Hr92u,1.0803530741856449,0.8607536231884059,2.7786302656734376,3.2677521038849466,3.445556339246833
Siemens,Alpha,Hr44u,1.0,0.0,0.38918384933497013,0.6958152319042943,0.8767225839609883
Siemens,Alpha,Hr68f,1.3695602693605615,0.5517442922374429,1.154639614821681,1.4233764087003196,1.5378416459649296
Siemens,Alpha,Br72u,1.404154573821125,0.6584902143522833,1.305154247566611,1.561392930692308,1.66441480656755
Siemens,Alpha,Br48f,1.0009558635645897,0.06859330143540669,0.48984117435104724,0.7023496208819895,0.8000991205369177
Siemens,Alpha,Br68u,1.3168548486169973,0.5517442922374429,1.1158589353714001,1.4010813841240055,1.530658335921144
Siemens,Alpha,Qr80u,1.0067237783273442,0.3264927536231884,1.5451606265356006,2.2471328650632927,2.6391734597301655
Siemens,Force,Br32d,1.0,0.0,0.24506068223057964,0.44380180128761804,0.5530735416568001
Siemens,Alpha,Qr40f,1.0,0.0,0.3824632523991075,0.6511711146237114,0.7917593455599452
Siemens,Alpha,Hr40u_4,1.0,0.0,0.31993664035157005,0.613179918082433,0.8179567134348136
Siemens,Alpha,Hr40f_3,1.0,0.0,0.320410663396053,0.6071257064085068,0.8096868139407813
Siemens,Alpha,Hr40u_1,1.0,0.0,0.3308147271509206,0.6161435639298256,0.8204724909467885
Siemens,Alpha,Br40u_4,1.0,0.0,0.3318389578321044,0.6029949574975234,0.7491512320386207
Siemens,Alpha,Hr40f_3,1.0,0.0,0.31122440824183123,0.6043758386238126,0.8069260013260727
Siemens,Alpha,Br40f_3,1.0,0.0,0.33508734484549735,0.6013465427559213,0.7369306848991943
Siemens,Alpha,Hr40u_3,1.0,0.0,0.3214126481475724,0.6136347158371772,0.8189993764219816
Siemens,Alpha,Br68u,1.4360493544824398,0.5358705994291152,1.1328327668896487,1.4107309944694066,1.5309998679841779
Siemens,Alpha,Br84u,1.0993909167823652,0.7024541062801932,1.7890982043049868,2.468269336769341,2.813128879612898
Siemens,Alpha,Bv40f,1.0,0.0,0.37421967056342625,0.6431768107442171,0.7824477108588328
Siemens,Alpha,Br56f,1.025707452725728,0.2211455399061033,0.6735962888894496,0.9029073289206173,1.0166398012832152
Siemens,Alpha,Br92u,1.1053377751899942,0.6430917874396136,2.0828839053511334,2.937689218543469,3.2706799501330055
Siemens,Alpha,Br92u,1.097090192927378,0.6430917874396136,2.087748609363903,2.9502264036585277,3.287306990165858
Siemens,Alpha,Hr76f,1.3266780853709867,0.6203168685927306,1.582274259219074,2.0350456789053424,2.4234511492620814
Siemens,Alpha,Br40u_1,1.0,0.0,0.3300124603602037,0.6006939222371266,0.7515627417174683
Siemens,Alpha,Br84u,1.143241087796808,0.6866472303206997,1.8433185898654936,2.5197561646424567,2.8372694849372957
Siemens,Alpha,Hr44f,1.0,0.0,0.38510343550248927,0.6912678408747003,0.8673077256823257
Siemens,Alpha,Br68f,1.1554502433810625,0.5789063948100093,1.1070694180911687,1.4151179768508304,1.585335203922727
Siemens,Alpha,Br40u_4,1.0,0.0,0.34240094896343715,0.6102626704643237,0.7608096561444739
Siemens,Alpha,Br40u_4,1.0,0.0,0.348170502554506,0.6135432903451722,0.7620811378792611
Siemens,Force,Br44d,1.0,0.0,0.40621323421889605,0.7094326097475941,0.875268547172647
Canon,Aquilion Prime,FC18,1.0,0.0,0.3788817383170676,0.6108128102804298,0.7097115993646009
Siemens,Alpha,Qr56u_3,1.0,0.0,0.6564513434901491,1.082324990787705,1.2487540445469996
Siemens,Alpha,Hr48f,1.0,0.0,0.4748212584798085,0.7373443910791354,0.9058957306386008
Siemens,Alpha,Hr36u,1.0,0.0,0.2865556683771273,0.5287733844278916,0.7071263781047276
Siemens,Alpha,Qr40u,1.0,0.0,0.383439877837777,0.6503424531332777,0.7847134362689506
Siemens,Force,Ur89u,1.0,0.0,0.3450054082138653,3.1719403913281115,
Siemens,Alpha,Br80u,1.1537489885889403,0.6826666666666668,1.643798715455831,2.2269891998240947,2.5521535063242693
Siemens,Alpha,Br40f_3,1.0,0.0,0.3427361258718362,0.6099420773765957,0.7615439870874815
Siemens,Force,Br40d,1.0,0.0,0.3434228385061657,0.6066790868383702,0.7594059872893181
Siemens,Alpha,Br56f,1.101730953130396,0.30670531400966183,0.7032658275767796,0.9163349019066407,1.020446367832182
Siemens,Alpha,Br40f_4,1.0,0.0,0.3344948375512263,0.60140267402159,0.7359777919605216
Siemens,Alpha,Hc40u,1.0,0.0,0.33603300523950164,0.6197339726183437,0.8240774812376723
Siemens,Alpha,Br40u,1.0,0.0,0.3531346060809209,0.6115938800707545,0.7675592568148293
Siemens,Alpha,Hr36u,1.0,0.0,0.25870300744301633,0.5049968695121638,0.6765920536807905
Siemens,Alpha,Hc40f,1.0,0.0,0.3315335651127521,0.6140978585663707,0.8154863926229143
Siemens,Alpha,Br56f,1.0465261771637222,0.28691787439613525,0.6884628235859236,0.9111573457159179,1.0166492193977474
Siemens,Alpha,Br76f,1.574922346357506,0.5826036644165862,1.6227004922753605,2.0860991101024897,2.727431683908643
Siemens,Alpha,Hr40f,1.0,0.0,0.3143036122354298,0.6020153593731505,0.8109291570486199
Siemens,Force,Hr49s,1.0,0.0,0.5160839444816716,0.7527392670175856,0.8868050746278385
Siemens,Alpha,Br44f,1.0,0.0,0.4027575719351763,0.7117637531994617,0.8768080931328234
Siemens,Force,Ur77u_1,1.0002588831646269,0.10727619047619047,1.4295857277639414,2.091155351803752,2.360129664493209
Siemens,Alpha,Br44u,1.0,0.0,0.38424321637659703,0.6963483191260273,0.8670437320163915
Siemens,Alpha,Br40f_4,1.0,0.0,0.3391575771757944,0.6075159224142314,0.7624636148046973
Siemens,Force,Hf40s,1.0,0.0,0.36151267609104043,0.7725865995559156,0.9361255070611151
Siemens,Alpha,Qr84u,1.120981367612969,0.6430917874396136,2.156008873563704,2.881348283941069,3.2347446627271865
Siemens,Alpha,Br40u_4,1.0,0.0,0.33354834869981587,0.5966155591555309,0.7478851769681615
Siemens,Alpha,Br36u,1.0,0.0,0.290313701715302,0.5212308207604498,0.6482901153775693
Siemens,Alpha,Br48u,1.0023991637187843,0.10439295644114921,0.5148775475288567,0.7121716185912261,0.8103214609673199
Siemens,Alpha,Hr40u_1,1.0,0.0,0.3242862688614473,0.6145113338579186,0.820817912734366
Siemens,Alpha,Br72f,1.3961018620452323,0.6590585975024015,1.3375477888746437,1.5808477827938041,1.6779064716542256
Siemens,Alpha,Hr76u,1.3885568786889668,0.7463556851311952,1.644542776681585,2.0852997751771487,2.271921635270016
Siemens,Alpha,Br56f,1.1285806613146474,0.3273059360730594,0.7095050214406715,0.9204850967840821,1.0237556183521026
Siemens,Alpha,Br40f_1,1.0,0.0,0.3461453365259042,0.6068605264180958,0.7520877724263553
Siemens,Alpha,Qr48u,1.0,0.0,0.5197689107583323,0.883399358417444,1.0776241433107712
Siemens,Alpha,Hr84u,1.3158384073649287,0.7741244019138755,2.162055434676321,2.7448479672108794,2.9678426396522335
Siemens,Alpha,Br40u_1,1.0,0.0,0.3488285223494215,0.6111031148234498,0.7648232967697203
Siemens,Alpha,Br80u,1.0403961755327276,0.6405975723622781,1.605091994267364,2.200897633559488,2.551200186747556
Siemens,Alpha,Qr80u,1.001990589118746,0.22755555555555557,1.54701132895227,2.251325620206175,2.65851994671672
Siemens,Alpha,Br72f,1.3582730059800854,0.6628792270531401,1.326591397835455,1.575223042529549,1.6697626859486503
Siemens,Alpha,Qr48f,1.0,0.0,0.521525678811559,0.8924970335544791,1.0847476413923505
Siemens,Alpha,Hr76u,1.3841902473320213,0.7463556851311952,1.6290475990283269,2.0702579910694396,2.262176348667755
Siemens,Force,Hr59h,1.0,0.0,0.6861435236719794,1.0591357027449022,1.252023788579748
Siemens,Force,Ub44u,1.0,0.0,0.3920122927709859,0.69719388796974,0.871845145990433
Siemens,Alpha,Br72f,1.460456016106466,0.6203168685927306,1.341752883508929,1.578750814865197,1.6765015810383386
Siemens,Alpha,Br44f,1.0,0.0,0.40270656086767515,0.7106932543800432,0.8755039280295209
Siemens,Alpha,Qr40f,1.0,0.0,0.37401931862783916,0.6423697184816749,0.7785736760598162
Siemens,Alpha,Qr40f,1.0,0.0,0.38207087632540404,0.6453982350583471,0.7840031453081641
Siemens,Alpha,Br48f,1.0028796645716378,0.12337349397590364,0.5155030582742176,0.7139589528858542,0.8129422230650003
Canon,Aquilion Prime,FC56,1.0,0.0,0.6215808601101181,0.8241005833494821,1.2697785972811548
Canon,Aquilion Prime,FC35,1.2093517773986784,0.3600908536923162,0.6128765041238422,0.741921888104939,1.2602538760193747
Siemens,Alpha,Br40f_3,1.0,0.0,0.3432709611984013,0.6060301523891285,0.7492704105072611
Siemens,Alpha,Qr40f,1.0,0.0,0.37898486655214103,0.6506391146395478,0.7893096371522704
Siemens,Alpha,Hr76u,1.4116935498746628,0.7065500485908649,1.6265260511515605,2.0690615598439948,2.2625427060786776
Siemens,Alpha,Br84u,1.1612699130394049,0.7065500485908649,1.8250262604865313,2.4836979994535477,2.8303565719121835
Siemens,Alpha,Br68u,1.3970013736057156,0.5483933787731257,1.121373865431914,1.4154452147597687,1.548251132311897
Siemens,Alpha,Br80u,1.0452840636684582,0.6979645191409898,1.5931118448073798,2.221403020009256,2.5641659741640344
Siemens,Alpha,Br72u,1.3917293322071491,0.6233043478260869,1.300622465874608,1.5588349784251025,1.6601202691499852
Siemens,Force,Ur89u,1.0,0.0,2.7992698940230625,3.294597882986738,
Siemens,Alpha,Br76f,1.2516785646384743,0.7222415458937199,1.5638967967375652,1.9944179782399094,2.205918075910651
Siemens,Alpha,Qr84u,1.006132685966333,0.3264927536231884,1.6747880658097405,2.4608882530464067,2.9039725402218997
Siemens,Force,Qr40d,1.0,0.0,0.3809537535396049,0.6490946141907824,0.7856926256589217
Siemens,Force,Qr49d,1.0,0.0,0.5521911815959254,0.9337581668600147,1.1299198972171116
Siemens,Alpha,Br36u,1.0,0.0,0.2915324565808895,0.5133636398403666,0.6422487431277033
Siemens,Force,Ub44u,1.0,0.0,0.3912029964962145,0.6958882777080416,0.8758869128732599
Siemens,Force,Hr40s,1.0,0.0,0.32837028675802643,0.6087091005291729,0.8069866734950719
Siemens,Alpha,Qr48f,1.0416445828879626,0.1434173669467787,0.5325987208337768,0.8995297391324082,1.1034636522368417
Siemens,Alpha,Qr84u,5.345449323691868,2.203544303797469,6.6324286117299005,,
Siemens,Alpha,Br40u_1,1.0,0.0,0.35592644674901897,0.614617675989302,0.7671431369734861
Siemens,Alpha,Br98u,1.0767942406217244,0.5452081316553725,2.263165117056294,3.449905995256296,4.5137297874683195
Siemens,Alpha,Hr40f_4,1.0,0.0,0.3084647659642137,0.5985158637149064,0.8072909497529167
